Exp_Compound,Comp_Model,Reporter,Atoms_Tracked,GLS_Type,Group,Epsilon,Conformer,Gibbs_Hartree,DeltaG_kcal_mol,Boltzmann_Weight,F_Shielding_ppm,Sigma_avg_ppm
21,31,"F-2,6","[7, 10]",aromatic,Group1_100Aq,78.3,conf_01,-1121.89854014,0.000000,0.46861048,267.151,267.386566
21,31,"F-2,6","[7, 10]",aromatic,Group1_100Aq,78.3,conf_02,-1121.89804250,0.312274,0.27663928,267.579,267.386566
21,31,"F-2,6","[7, 10]",aromatic,Group1_100Aq,78.3,conf_03,-1121.89796467,0.361113,0.25475023,267.610,267.386566
21,31,"F-2,6","[7, 10]",aromatic,Group2_80-20,69.18,conf_01,-1121.89852419,0.000000,0.46873983,267.135,267.370658
21,31,"F-2,6","[7, 10]",aromatic,Group2_80-20,69.18,conf_02,-1121.89802605,0.312587,0.27656914,267.564,267.370658
21,31,"F-2,6","[7, 10]",aromatic,Group2_80-20,69.18,conf_03,-1121.89794824,0.361414,0.25469104,267.594,267.370658
21,31,"F-2,6","[7, 10]",aromatic,Group3_60-40,60.06,conf_01,-1121.89850266,0.000000,0.46867692,267.114,267.350015
21,31,"F-2,6","[7, 10]",aromatic,Group3_60-40,60.06,conf_02,-1121.89800484,0.312387,0.27662576,267.546,267.350015
21,31,"F-2,6","[7, 10]",aromatic,Group3_60-40,60.06,conf_03,-1121.89792686,0.361320,0.25469732,267.572,267.350015
21,31,"F-2,6","[7, 10]",aromatic,Group4_40-60,50.94,conf_01,-1121.89847389,0.000000,0.46886240,267.086,267.320236
21,31,"F-2,6","[7, 10]",aromatic,Group4_40-60,50.94,conf_02,-1121.89797494,0.313096,0.27640424,267.514,267.320236
21,31,"F-2,6","[7, 10]",aromatic,Group4_40-60,50.94,conf_03,-1121.89789785,0.361470,0.25473336,267.541,267.320236
21,31,"F-2,6","[7, 10]",aromatic,Group5_20-80,41.82,conf_01,-1121.89843295,0.000000,0.46908737,267.044,267.277927
21,31,"F-2,6","[7, 10]",aromatic,Group5_20-80,41.82,conf_02,-1121.89793296,0.313748,0.27623243,267.471,267.277927
21,31,"F-2,6","[7, 10]",aromatic,Group5_20-80,41.82,conf_03,-1121.89785626,0.361878,0.25468019,267.499,267.277927
21,31,"F-2,6","[7, 10]",aromatic,Group6_100Org,32.7,conf_01,-1121.89836991,0.000000,0.46950256,266.980,267.211217
21,31,"F-2,6","[7, 10]",aromatic,Group6_100Org,32.7,conf_02,-1121.89786837,0.314721,0.27602342,267.400,267.211217
21,31,"F-2,6","[7, 10]",aromatic,Group6_100Org,32.7,conf_03,-1121.89779162,0.362882,0.25447402,267.433,267.211217
21,31,"F-3,5","[5, 12]",aromatic,Group1_100Aq,78.3,conf_01,-1121.89854014,0.000000,0.46861048,313.954,313.667273
21,31,"F-3,5","[5, 12]",aromatic,Group1_100Aq,78.3,conf_02,-1121.89804250,0.312274,0.27663928,313.400,313.667273
21,31,"F-3,5","[5, 12]",aromatic,Group1_100Aq,78.3,conf_03,-1121.89796467,0.361113,0.25475023,313.431,313.667273
21,31,"F-3,5","[5, 12]",aromatic,Group2_80-20,69.18,conf_01,-1121.89852419,0.000000,0.46873983,313.949,313.658960
21,31,"F-3,5","[5, 12]",aromatic,Group2_80-20,69.18,conf_02,-1121.89802605,0.312587,0.27656914,313.381,313.658960
21,31,"F-3,5","[5, 12]",aromatic,Group2_80-20,69.18,conf_03,-1121.89794824,0.361414,0.25469104,313.427,313.658960
21,31,"F-3,5","[5, 12]",aromatic,Group3_60-40,60.06,conf_01,-1121.89850266,0.000000,0.46867692,313.944,313.651103
21,31,"F-3,5","[5, 12]",aromatic,Group3_60-40,60.06,conf_02,-1121.89800484,0.312387,0.27662576,313.364,313.651103
