Molecule,Group,Conformer,Normal_Termination,Gibbs_Hartree,Imaginary_Freq
34,Group1_100Aq,conf_01,TRUE,-1012.59797469,FALSE
34,Group1_100Aq,conf_02,TRUE,-1012.59823707,FALSE
34,Group1_100Aq,conf_03,TRUE,-1012.59495078,FALSE
34,Group1_100Aq,conf_04,TRUE,-1012.59429406,FALSE
34,Group1_100Aq,conf_05,TRUE,-1012.59423699,FALSE
34,Group2_80-20,conf_01,TRUE,-1012.59794700,FALSE
34,Group2_80-20,conf_02,TRUE,-1012.59820712,FALSE
34,Group2_80-20,conf_03,TRUE,-1012.59492625,FALSE
34,Group2_80-20,conf_04,TRUE,-1012.59427271,FALSE
34,Group2_80-20,conf_05,TRUE,-1012.59421245,FALSE
34,Group3_60-40,conf_01,TRUE,-1012.59790617,FALSE
34,Group3_60-40,conf_02,TRUE,-1012.59816951,FALSE
34,Group3_60-40,conf_03,TRUE,-1012.59489434,FALSE
34,Group3_60-40,conf_04,TRUE,-1012.59423847,FALSE
34,Group3_60-40,conf_05,TRUE,-1012.59418020,FALSE
34,Group4_40-60,conf_01,TRUE,-1012.59785263,FALSE
34,Group4_40-60,conf_02,TRUE,-1012.59811665,FALSE
34,Group4_40-60,conf_03,TRUE,-1012.59485106,FALSE
34,Group4_40-60,conf_04,TRUE,-1012.59419399,FALSE
34,Group4_40-60,conf_05,TRUE,-1012.59413682,FALSE
34,Group5_20-80,conf_01,TRUE,-1012.59777590,FALSE
34,Group5_20-80,conf_02,TRUE,-1012.59804091,FALSE
34,Group5_20-80,conf_03,TRUE,-1012.59478903,FALSE
34,Group5_20-80,conf_04,TRUE,-1012.59412950,FALSE
34,Group5_20-80,conf_05,TRUE,-1012.59407395,FALSE
34,Group6_100Org,conf_01,TRUE,-1012.59765618,FALSE
34,Group6_100Org,conf_02,TRUE,-1012.59792332,FALSE
34,Group6_100Org,conf_03,TRUE,-1012.59469284,FALSE
34,Group6_100Org,conf_04,TRUE,-1012.59403602,FALSE
34,Group6_100Org,conf_05,TRUE,-1012.59397678,FALSE
38,Group1_100Aq,conf_01,TRUE,-1043.96630467,FALSE
38,Group1_100Aq,conf_02,TRUE,-1043.96517357,FALSE
38,Group1_100Aq,conf_03,TRUE,-1043.96635168,FALSE
38,Group1_100Aq,conf_04,TRUE,-1043.96562276,FALSE
38,Group1_100Aq,conf_05,TRUE,-1043.96508246,FALSE
38,Group1_100Aq,conf_06,TRUE,-1043.96626946,FALSE
38,Group1_100Aq,conf_07,TRUE,-1043.96563702,FALSE
38,Group1_100Aq,conf_08,TRUE,-1043.96552844,FALSE
38,Group1_100Aq,conf_09,TRUE,-1043.96566574,FALSE
38,Group1_100Aq,conf_10,TRUE,-1043.96565912,FALSE
38,Group1_100Aq,conf_11,TRUE,-1043.96568040,FALSE
38,Group1_100Aq,conf_12,TRUE,-1043.96573021,FALSE
38,Group1_100Aq,conf_13,TRUE,-1043.96575301,FALSE
38,Group1_100Aq,conf_14,TRUE,-1043.96574573,FALSE
38,Group1_100Aq,conf_15,TRUE,-1043.96121797,FALSE
38,Group2_80-20,conf_01,TRUE,-1043.96628014,FALSE
38,Group2_80-20,conf_02,TRUE,-1043.96514971,FALSE
38,Group2_80-20,conf_03,TRUE,-1043.96632673,FALSE
38,Group2_80-20,conf_04,TRUE,-1043.96559556,FALSE
38,Group2_80-20,conf_05,TRUE,-1043.96505875,FALSE
38,Group2_80-20,conf_06,TRUE,-1043.96624532,FALSE
38,Group2_80-20,conf_07,TRUE,-1043.96560990,FALSE
38,Group2_80-20,conf_08,TRUE,-1043.96550177,FALSE
38,Group2_80-20,conf_09,TRUE,-1043.96563884,FALSE
38,Group2_80-20,conf_10,TRUE,-1043.96563202,FALSE
38,Group2_80-20,conf_11,TRUE,-1043.96565379,FALSE
38,Group2_80-20,conf_12,TRUE,-1043.96570271,FALSE
38,Group2_80-20,conf_13,TRUE,-1043.96572504,FALSE
38,Group2_80-20,conf_14,TRUE,-1043.96571777,FALSE
38,Group2_80-20,conf_15,TRUE,-1043.96118521,FALSE
38,Group3_60-40,conf_01,TRUE,-1043.96624820,FALSE
38,Group3_60-40,conf_02,TRUE,-1043.96511864,FALSE
38,Group3_60-40,conf_03,TRUE,-1043.96629489,FALSE
38,Group3_60-40,conf_04,TRUE,-1043.96556014,FALSE
38,Group3_60-40,conf_05,TRUE,-1043.96502784,FALSE
38,Group3_60-40,conf_06,TRUE,-1043.96621387,FALSE
38,Group3_60-40,conf_07,TRUE,-1043.96557458,FALSE
38,Group3_60-40,conf_08,TRUE,-1043.96546712,FALSE
38,Group3_60-40,conf_09,TRUE,-1043.96560299,FALSE
38,Group3_60-40,conf_10,TRUE,-1043.96559673,FALSE
38,Group3_60-40,conf_11,TRUE,-1043.96561897,FALSE
38,Group3_60-40,conf_12,TRUE,-1043.96566689,FALSE
38,Group3_60-40,conf_13,TRUE,-1043.96568888,FALSE
38,Group3_60-40,conf_14,TRUE,-1043.96568138,FALSE
38,Group3_60-40,conf_15,TRUE,-1043.96114251,FALSE
38,Group4_40-60,conf_01,TRUE,-1043.96620486,FALSE
38,Group4_40-60,conf_02,TRUE,-1043.96507647,FALSE
38,Group4_40-60,conf_03,TRUE,-1043.96625160,FALSE
38,Group4_40-60,conf_04,TRUE,-1043.96551209,FALSE
38,Group4_40-60,conf_05,TRUE,-1043.96498591,FALSE
38,Group4_40-60,conf_06,TRUE,-1043.96617119,FALSE
38,Group4_40-60,conf_07,TRUE,-1043.96552668,FALSE
38,Group4_40-60,conf_08,TRUE,-1043.96541995,FALSE
38,Group4_40-60,conf_09,TRUE,-1043.96554903,FALSE
38,Group4_40-60,conf_10,TRUE,-1043.96554884,FALSE
38,Group4_40-60,conf_11,TRUE,-1043.96557218,FALSE
38,Group4_40-60,conf_12,TRUE,-1043.96561828,FALSE
38,Group4_40-60,conf_13,TRUE,-1043.96563913,FALSE
38,Group4_40-60,conf_14,TRUE,-1043.96563197,FALSE
38,Group4_40-60,conf_15,TRUE,-1043.96108458,FALSE
38,Group5_20-80,conf_01,TRUE,-1043.96614272,FALSE
38,Group5_20-80,conf_02,TRUE,-1043.96501601,FALSE
38,Group5_20-80,conf_03,TRUE,-1043.96618951,FALSE
38,Group5_20-80,conf_04,TRUE,-1043.96544322,FALSE
38,Group5_20-80,conf_05,TRUE,-1043.96492577,FALSE
38,Group5_20-80,conf_06,TRUE,-1043.96610997,FALSE
38,Group5_20-80,conf_07,TRUE,-1043.96545800,FALSE
38,Group5_20-80,conf_08,TRUE,-1043.96535394,FALSE
38,Group5_20-80,conf_09,TRUE,-1043.96547971,FALSE
38,Group5_20-80,conf_10,TRUE,-1043.96548018,FALSE
38,Group5_20-80,conf_11,TRUE,-1043.96550437,FALSE
38,Group5_20-80,conf_12,TRUE,-1043.96554830,FALSE
38,Group5_20-80,conf_13,TRUE,-1043.96556821,FALSE
38,Group5_20-80,conf_14,TRUE,-1043.96556096,FALSE
38,Group5_20-80,conf_15,TRUE,-1043.96100159,FALSE
38,Group6_100Org,conf_01,TRUE,-1043.96604609,FALSE
38,Group6_100Org,conf_02,TRUE,-1043.96492201,FALSE
38,Group6_100Org,conf_03,TRUE,-1043.96609343,FALSE
38,Group6_100Org,conf_04,TRUE,-1043.96533614,FALSE
38,Group6_100Org,conf_05,TRUE,-1043.96483225,FALSE
38,Group6_100Org,conf_06,TRUE,-1043.96601476,FALSE
38,Group6_100Org,conf_07,TRUE,-1043.96535129,FALSE
38,Group6_100Org,conf_08,TRUE,-1043.96524914,FALSE
38,Group6_100Org,conf_09,TRUE,-1043.96537200,FALSE
38,Group6_100Org,conf_10,TRUE,-1043.96537342,FALSE
38,Group6_100Org,conf_11,TRUE,-1043.96539943,FALSE
38,Group6_100Org,conf_12,TRUE,-1043.96544008,FALSE
38,Group6_100Org,conf_13,TRUE,-1043.96545798,FALSE
38,Group6_100Org,conf_14,TRUE,-1043.96545082,FALSE
38,Group6_100Org,conf_15,TRUE,-1043.96087260,FALSE
37,Group1_100Aq,conf_01,TRUE,-967.54577884,FALSE
37,Group1_100Aq,conf_02,TRUE,-967.54563376,FALSE
37,Group1_100Aq,conf_03,TRUE,-967.54541238,FALSE
37,Group1_100Aq,conf_04,TRUE,-967.54534421,FALSE
37,Group1_100Aq,conf_05,TRUE,-967.54389150,FALSE
37,Group1_100Aq,conf_06,TRUE,-967.54386051,FALSE
37,Group1_100Aq,conf_07,TRUE,-967.54394807,FALSE
37,Group1_100Aq,conf_08,TRUE,-967.54389998,FALSE
37,Group1_100Aq,conf_09,TRUE,-967.54395442,FALSE
37,Group1_100Aq,conf_10,TRUE,-967.54535360,FALSE
37,Group1_100Aq,conf_11,TRUE,-967.54392022,FALSE
37,Group1_100Aq,conf_12,TRUE,-967.54299928,FALSE
37,Group1_100Aq,conf_13,TRUE,-967.54289480,FALSE
37,Group1_100Aq,conf_14,TRUE,-967.54117261,FALSE
37,Group1_100Aq,conf_15,TRUE,-967.54251863,FALSE
37,Group1_100Aq,conf_16,TRUE,-967.54246875,FALSE
37,Group1_100Aq,conf_17,TRUE,-967.54243296,FALSE
37,Group1_100Aq,conf_18,TRUE,-967.54238738,FALSE
37,Group1_100Aq,conf_19,TRUE,-967.54238527,FALSE
37,Group1_100Aq,conf_20,TRUE,-967.54237943,FALSE
37,Group1_100Aq,conf_21,TRUE,-967.54238252,FALSE
37,Group1_100Aq,conf_22,TRUE,-967.54238480,FALSE
37,Group1_100Aq,conf_23,TRUE,-967.54308740,FALSE
37,Group1_100Aq,conf_24,TRUE,-967.54331186,FALSE
37,Group1_100Aq,conf_25,TRUE,-967.54346341,FALSE
37,Group1_100Aq,conf_26,TRUE,-967.54326816,FALSE
37,Group1_100Aq,conf_27,TRUE,-967.54303909,FALSE
37,Group1_100Aq,conf_28,TRUE,-967.54332288,FALSE
37,Group1_100Aq,conf_29,TRUE,-967.54327954,FALSE
37,Group1_100Aq,conf_30,TRUE,-967.54339307,FALSE
37,Group1_100Aq,conf_31,TRUE,-967.54351789,FALSE
37,Group1_100Aq,conf_32,TRUE,-967.54343874,FALSE
37,Group1_100Aq,conf_33,TRUE,-967.54299352,FALSE
37,Group2_80-20,conf_01,TRUE,-967.54575733,FALSE
37,Group2_80-20,conf_02,TRUE,-967.54561398,FALSE
37,Group2_80-20,conf_03,TRUE,-967.54539126,FALSE
37,Group2_80-20,conf_04,TRUE,-967.54532328,FALSE
37,Group2_80-20,conf_05,TRUE,-967.54387077,FALSE
37,Group2_80-20,conf_06,TRUE,-967.54383939,FALSE
37,Group2_80-20,conf_07,TRUE,-967.54392729,FALSE
37,Group2_80-20,conf_08,TRUE,-967.54388025,FALSE
37,Group2_80-20,conf_09,TRUE,-967.54393218,FALSE
37,Group2_80-20,conf_10,TRUE,-967.54533238,FALSE
37,Group2_80-20,conf_11,TRUE,-967.54389934,FALSE
37,Group2_80-20,conf_12,TRUE,-967.54297368,FALSE
37,Group2_80-20,conf_13,TRUE,-967.54287118,FALSE
37,Group2_80-20,conf_14,TRUE,-967.54114574,FALSE
37,Group2_80-20,conf_15,TRUE,-967.54249276,FALSE
37,Group2_80-20,conf_16,TRUE,-967.54244465,FALSE
37,Group2_80-20,conf_17,TRUE,-967.54240705,FALSE
37,Group2_80-20,conf_18,TRUE,-967.54236515,FALSE
37,Group2_80-20,conf_19,TRUE,-967.54236067,FALSE
37,Group2_80-20,conf_20,TRUE,-967.54235465,FALSE
37,Group2_80-20,conf_21,TRUE,-967.54236119,FALSE
37,Group2_80-20,conf_22,TRUE,-967.54236235,FALSE
37,Group2_80-20,conf_23,TRUE,-967.54306408,FALSE
37,Group2_80-20,conf_24,TRUE,-967.54328809,FALSE
37,Group2_80-20,conf_25,TRUE,-967.54343759,FALSE
37,Group2_80-20,conf_26,TRUE,-967.54324423,FALSE
37,Group2_80-20,conf_27,TRUE,-967.54301433,FALSE
37,Group2_80-20,conf_28,TRUE,-967.54328985,FALSE
37,Group2_80-20,conf_29,TRUE,-967.54330149,FALSE
37,Group2_80-20,conf_30,TRUE,-967.54336976,FALSE
37,Group2_80-20,conf_31,TRUE,-967.54349331,FALSE
37,Group2_80-20,conf_32,TRUE,-967.54341457,FALSE
37,Group2_80-20,conf_33,TRUE,-967.54295660,FALSE
37,Group3_60-40,conf_01,TRUE,-967.54572931,FALSE
37,Group3_60-40,conf_02,TRUE,-967.54558748,FALSE
37,Group3_60-40,conf_03,TRUE,-967.54536375,FALSE
37,Group3_60-40,conf_04,TRUE,-967.54529598,FALSE
37,Group3_60-40,conf_05,TRUE,-967.54384376,FALSE
37,Group3_60-40,conf_06,TRUE,-967.54381191,FALSE
37,Group3_60-40,conf_07,TRUE,-967.54390917,FALSE
37,Group3_60-40,conf_08,TRUE,-967.54385240,FALSE
37,Group3_60-40,conf_09,TRUE,-967.54390625,FALSE
37,Group3_60-40,conf_10,TRUE,-967.54530499,FALSE
37,Group3_60-40,conf_11,TRUE,-967.54387214,FALSE
37,Group3_60-40,conf_12,TRUE,-967.54294148,FALSE
37,Group3_60-40,conf_13,TRUE,-967.54284041,FALSE
37,Group3_60-40,conf_14,TRUE,-967.54111219,FALSE
37,Group3_60-40,conf_15,TRUE,-967.54246110,FALSE
37,Group3_60-40,conf_16,TRUE,-967.54241632,FALSE
37,Group3_60-40,conf_17,TRUE,-967.54237735,FALSE
37,Group3_60-40,conf_18,TRUE,-967.54233375,FALSE
37,Group3_60-40,conf_19,TRUE,-967.54232847,FALSE
37,Group3_60-40,conf_20,TRUE,-967.54232350,FALSE
37,Group3_60-40,conf_21,TRUE,-967.54232949,FALSE
