Molecule,Group,Conformer,Atom_Index,F_Isotropic_ppm,F_Anisotropy_ppm
31,Group1_100Aq,conf_01,5,313.319,142.372
31,Group1_100Aq,conf_01,7,267.14,89.006
31,Group1_100Aq,conf_01,10,267.163,88.912
31,Group1_100Aq,conf_01,12,314.588,141.635
31,Group1_100Aq,conf_02,5,314.333,141.879
31,Group1_100Aq,conf_02,7,268.158,88.009
31,Group1_100Aq,conf_02,10,267.0,88.571
31,Group1_100Aq,conf_02,12,312.467,133.108
31,Group1_100Aq,conf_03,5,312.523,133.033
31,Group1_100Aq,conf_03,7,267.053,88.58
31,Group1_100Aq,conf_03,10,268.167,88.069
31,Group1_100Aq,conf_03,12,314.339,141.722
31,Group2_80-20,conf_01,5,313.309,142.379
31,Group2_80-20,conf_01,7,267.122,89.04
31,Group2_80-20,conf_01,10,267.149,88.939
31,Group2_80-20,conf_01,12,314.589,141.621
31,Group2_80-20,conf_02,5,314.304,141.88
31,Group2_80-20,conf_02,7,268.131,88.078
31,Group2_80-20,conf_02,10,266.997,88.614
31,Group2_80-20,conf_02,12,312.458,133.087
31,Group2_80-20,conf_03,5,312.524,133.018
31,Group2_80-20,conf_03,7,267.038,88.608
31,Group2_80-20,conf_03,10,268.149,88.103
31,Group2_80-20,conf_03,12,314.33,141.73
31,Group3_60-40,conf_01,5,313.297,142.39
31,Group3_60-40,conf_01,7,267.098,89.084
31,Group3_60-40,conf_01,10,267.13,88.972
31,Group3_60-40,conf_01,12,314.591,141.603
31,Group3_60-40,conf_02,5,314.293,141.91
31,Group3_60-40,conf_02,7,268.091,88.168
31,Group3_60-40,conf_02,10,267.0,88.674
31,Group3_60-40,conf_02,12,312.434,133.089
31,Group3_60-40,conf_03,5,312.53,132.998
31,Group3_60-40,conf_03,7,267.018,88.643
31,Group3_60-40,conf_03,10,268.126,88.148
31,Group3_60-40,conf_03,12,314.319,141.741
31,Group4_40-60,conf_01,5,313.281,142.404
31,Group4_40-60,conf_01,7,267.066,89.144
31,Group4_40-60,conf_01,10,267.105,89.018
31,Group4_40-60,conf_01,12,314.594,141.581
31,Group4_40-60,conf_02,5,314.268,141.897
31,Group4_40-60,conf_02,7,268.075,88.19
31,Group4_40-60,conf_02,10,266.954,88.702
31,Group4_40-60,conf_02,12,312.467,133.037
31,Group4_40-60,conf_03,5,312.527,132.975
31,Group4_40-60,conf_03,7,266.991,88.691
31,Group4_40-60,conf_03,10,268.092,88.209
31,Group4_40-60,conf_03,12,314.302,141.756
31,Group5_20-80,conf_01,5,313.258,142.424
31,Group5_20-80,conf_01,7,267.02,89.23
31,Group5_20-80,conf_01,10,267.069,89.085
31,Group5_20-80,conf_01,12,314.597,141.547
31,Group5_20-80,conf_02,5,314.252,141.923
31,Group5_20-80,conf_02,7,268.029,88.272
31,Group5_20-80,conf_02,10,266.912,88.769
31,Group5_20-80,conf_02,12,312.468,133.005
31,Group5_20-80,conf_03,5,312.53,132.939
31,Group5_20-80,conf_03,7,266.952,88.762
31,Group5_20-80,conf_03,10,268.046,88.297
31,Group5_20-80,conf_03,12,314.278,141.776
31,Group6_100Org,conf_01,5,313.222,142.455
31,Group6_100Org,conf_01,7,266.948,89.363
31,Group6_100Org,conf_01,10,267.012,89.19
31,Group6_100Org,conf_01,12,314.603,141.492
31,Group6_100Org,conf_02,5,314.218,141.965
31,Group6_100Org,conf_02,7,267.953,88.398
31,Group6_100Org,conf_02,10,266.848,88.869
31,Group6_100Org,conf_02,12,312.461,132.964
31,Group6_100Org,conf_03,5,312.534,132.882
31,Group6_100Org,conf_03,7,266.892,88.87
